business_id,bar_nightlife_crowd,bar_vibes_live_music,brunch_breakfast,cafe_coffee_reading_terminal,casual_payment_ordering,chef_specials_platters,cocktail_bars_speakeasy,comfort_food_sandwiches,craft_beer_sports_bars,customer_service_quality,desserts_bakery,dinner_happy_hour,fine_dining_tasting_menu,food_trucks_trendy_spots,markets_grocery_shopping,outdoor_street_seating,overall_food_quality,philly_neighborhood_gems,quick_fresh_lunch,service_wait_time,small_plates_cocktails,spicy_asian_flavors,unique_quirky_dining,value_portion_size,venue_location_experience,business_name,address,categories,business_stars,review_count,is_open,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,dominant_topic,dominant_topic_score,topic_diversity,overall_sentiment,romantic_score,solo_work_score,family_score,group_celebration_score,hidden_gem_score
GrRrxHK9dWgibvUpcotxtw,0.0241,0.0234,0.0311,0.0319,0.033,0.0285,0.0268,0.1062,0.0183,0.03,0.0131,0.0737,0.0233,0.0206,0.0181,0.0205,0.0461,0.1381,0.0603,0.2745,0.0174,0.0142,0.0211,0.062,0.0181,Joe's Pizza,122 S 16th St,"Pizza, Restaurants",3.5,183,1,10:0-20:30,9:0-20:30,9:0-20:30,9:0-20:30,9:0-20:30,11:0-20:30,11:0-19:0,Comfort Food & Sandwiches,0.2745,6,0.6311,0.0238,0.2292,0.2267,0.0248,0.0802
RbHZJdoy7kIXfGRmM-6sdw,0.0228,0.0919,0.0519,0.0172,0.0426,0.0316,0.022,0.0471,0.0333,0.0237,0.0171,0.083,0.0187,0.025,0.0259,0.0218,0.0429,0.1388,0.0338,0.3006,0.0231,0.0114,0.0287,0.0525,0.0219,Station Bar & Grill,1550 McKean St,"Bars, Arts & Entertainment, Nightlife, Sports Bars, Restaurants, American (Traditional), Gastropubs, Music Venues",3.5,58,1,17:0-2:0,17:0-2:0,13:0-2:0,13:0-2:0,13:0-2:0,11:0-2:0,11:0-2:0,Bar Vibes & Live Music,0.3006,6,0.4718,0.0206,0.2142,0.2313,0.0432,0.0799
NUExM8_IQMh1csfeWs3PyQ,0.0266,0.0618,0.0,0.0161,0.0439,0.0254,0.0459,0.061,0.0169,0.0217,0.0183,0.0911,0.0333,0.0266,0.0145,0.0249,0.0571,0.1378,0.0462,0.2421,0.0158,0.0265,0.0268,0.0438,0.0254,Hi Kori,1016 Race St,"Bars, Japanese, Restaurants, Nightlife",4.5,50,1,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-3:0,11:0-3:0,11:0-1:0,Cocktail Bars & Speakeasy,0.2421,6,0.6962,0.0356,0.2166,0.2089,0.0439,0.0763
UdcLHHBRIxtelgbKBnhitA,0.0257,0.0297,0.0457,0.0339,0.035,0.0291,0.0215,0.0741,0.0155,0.0266,0.0296,0.0817,0.0222,0.0207,0.0156,0.0169,0.046,0.133,0.0497,0.2971,0.0158,0.0177,0.0239,0.0472,0.023,Nifty Fifty's,2491 Grant Ave,"Burgers, Juice Bars & Smoothies, Food, Restaurants, Ice Cream & Frozen Yogurt, Breakfast & Brunch, Desserts, Diners",3.5,352,1,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-1:0,6:0-1:0,6:0-23:0,Brunch & Breakfast,0.2971,4,0.5842,0.0206,0.2267,0.227,0.0254,0.0745
MKsCFQuzmgH2We9hwTQ8gw,0.0213,0.0276,0.0229,0.0173,0.0168,0.0348,0.024,0.0757,0.0138,0.0191,0.0157,0.0953,0.0359,0.0202,0.0169,0.0293,0.0442,0.156,0.052,0.2629,0.0213,0.0215,0.019,0.0588,0.0219,South Street Souvlaki,509 South St,"Greek, Restaurants",4.0,221,1,12:0-20:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-22:0,12:0-22:0,12:0-21:0,Outdoor & Street Seating,0.2629,6,0.7262,0.0301,0.22,0.2256,0.0241,0.0857
pTy5tFm9y8uzMjXhjWweFA,0.0246,0.0259,0.0181,0.0346,0.018,0.0208,0.0172,0.0648,0.0132,0.0194,0.0228,0.1259,0.0442,0.0281,0.015,0.0278,0.046,0.1561,0.0457,0.2464,0.0206,0.0133,0.0259,0.0474,0.015,Mr Joe's Cafe,1514 S 8th St,"Italian, Coffee & Tea, Restaurants, Food",4.5,66,1,,11:0-17:0,11:0-17:0,11:0-17:0,11:0-18:0,11:0-18:0,,Fine Dining & Tasting Menu,0.2464,4,0.8129,0.0306,0.2261,0.2218,0.0224,0.0844
uVri4t3oyA7gqbX5q7_0LA,0.0173,0.0305,0.0139,0.0152,0.0378,0.0219,0.0216,0.0698,0.0173,0.0229,0.0139,0.0901,0.0428,0.017,0.0174,0.0218,0.0474,0.1303,0.043,0.3017,0.0351,0.0285,0.0266,0.0508,0.0201,El Balconcito,658 E Godfrey Ave,"Peruvian, Portuguese, Dentists, Restaurants, General Dentistry, Health & Medical, Nightlife, Cocktail Bars, Bars, Iberian",3.5,59,1,0:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,Small Plates & Cocktails,0.3017,5,0.645,0.0301,0.217,0.2194,0.0228,0.0753
MCONblFmdE6NdZWN-BoDpQ,0.0203,0.0304,0.0537,0.016,0.0297,0.0199,0.0179,0.0642,0.0156,0.031,0.0261,0.085,0.0294,0.0185,0.0189,0.0182,0.047,0.1198,0.0376,0.318,0.0203,0.0177,0.0219,0.0463,0.0396,The Breakfast Boutique 2,5917 N Broad St,"Cafes, Restaurants, Sandwiches, Burgers, Breakfast & Brunch",3.0,59,1,7:30-14:30,7:30-14:30,7:30-14:30,7:30-21:0,7:30-21:0,7:30-21:0,8:0-18:0,Brunch & Breakfast,0.318,5,0.3973,0.0226,0.2152,0.2301,0.0225,0.0684
Tg5p9ITJUOYp3vFzw0nK2g,0.0296,0.0343,0.0285,0.0128,0.0297,0.03,0.0,0.0775,0.0119,0.0314,0.0121,0.0716,0.0206,0.0216,0.0229,0.0161,0.0431,0.1208,0.0364,0.3689,0.017,0.0119,0.0262,0.0463,0.0209,Mike's Pizza,4111 Main St,"Pizza, Restaurants",2.5,64,1,11:0-21:0,11:0-21:0,11:0-21:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-21:0,Service & Wait Time,0.3689,4,0.1361,0.0123,0.2114,0.2257,0.0206,0.0701
DIGW-yEmaQeEq_SJKvbZyg,0.0194,0.0225,0.0592,0.0147,0.0291,0.0256,0.0209,0.0724,0.0206,0.0299,0.0157,0.0672,0.0261,0.0325,0.0161,0.02,0.0473,0.1162,0.0399,0.3642,0.0476,0.036,0.0251,0.0438,0.017,Fiesta Acapulco,1122 S 9th St,"Restaurants, Mexican",2.5,54,1,10:0-23:45,10:0-23:45,10:0-23:45,10:0-23:45,10:0-23:45,10:0-23:45,10:0-23:45,Small Plates & Cocktails,0.3642,5,0.3636,0.0228,0.2154,0.2307,0.0209,0.0672
